text,category,severity
Requesting installation of an additional community water tap near the new bus stop in Jamtara.,Water Management,LOW
Illegal commercial timber logging and cutting of ancient Sal trees in protected forest zone of Dumka.,Environment,HIGH
Overgrown wild weeds and Congress grass causing seasonal pollen allergies in colony park Deoghar.,Environment,LOW
Child immunization camp date postponed twice without notifying parents in Ramgarh.,Healthcare,MEDIUM
"Solar street light battery backup discharged, light turning off by 10 PM in Bokaro.",Energy,LOW
Dilapidated school building declared unsafe still hosting classes of 200 primary pupils in Pakur.,Education,CRITICAL
Construction and demolition debris dumped openly on dry riverbed near Circular Road.,Environment,MEDIUM
Street signboards fallen down and lying in ditch near entrance of Dumka.,Urban Infrastructure,MEDIUM
Request for training workshop on organic compost preparation in village Palamu.,Agriculture,LOW
Potholes at bus terminal depot damaging public vehicle axles and stalling departures in Godda.,Transportation,MEDIUM
OPD registration counter has only one operator for over 400 patients daily in Dhanbad.,Healthcare,MEDIUM
"No tap water supply in Hazaribagh for past 21 days, residents forced to purchase private tankers at huge rates.",Water Management,HIGH
X-ray and Sonography machines at Community Health Centre Simdega out of order for past 30 weeks.,Healthcare,HIGH
Public dustbins in market area Jamtara broken and overflowing with plastic bags.,Sanitation,MEDIUM
Cholera and severe gastroenteritis outbreak reported due to sewage mixing in drinking water pipelines in Gumla.,Water Management,CRITICAL
"Sinkhole formed suddenly in the middle of intersection near Simdega, engulfing front of a delivery truck.",Urban Infrastructure,CRITICAL
Bio-medical hazardous waste including infected needles and bandages dumped in open field behind hospital Saraikela.,Healthcare,HIGH
Dead animal carcass found decaying inside the community drinking water overhead tank in Lohardaga.,Water Management,CRITICAL
"Unmarked and unpainted speed breaker on Station Road without reflectors, vehicles violently jumping.",Urban Infrastructure,MEDIUM
"All streetlights on main ring road Bypass Highway non-functional for past 5 days, high accident danger.",Urban Infrastructure,HIGH
Requesting installation of an additional community water tap near the new bus stop in Saraikela.,Water Management,LOW
"Dead cattle carcass lying rotting on roadside of Hospital Road for 3 days, causing unbearable stench.",Sanitation,HIGH
"Unmanned railway level crossing with broken boom barrier, blind collision hazard on Hospital Road.",Transportation,CRITICAL
"Acute dengue and viral encephalitis outbreak claiming lives of children in Jamshedpur, immediate medical team required.",Healthcare,CRITICAL
"Government ambulance dial 108 helpline not answering, pregnant patient died en route in Ranchi.",Healthcare,CRITICAL
"Drinking water tank in village school contaminated, dozens of children sick with food poisoning in Giridih.",Education,CRITICAL
Shared auto drivers driving rashly on wrong side of highway and charging 3x metered fare in Palamu.,Transportation,MEDIUM
"Agricultural power transformer burned out, tube wells non-functional during peak irrigation in Simdega.",Agriculture,HIGH
Market vegetable vendors dumping rotten produce directly into open stormwater drains in Jamtara.,Sanitation,MEDIUM
"Community public RO purification plant in Deoghar broken down for 20 weeks, no technician attending.",Water Management,HIGH
"Dead cattle carcass lying rotting on roadside of Ring Road for 3 days, causing unbearable stench.",Sanitation,HIGH
Auto rickshaw stand encroaching on pedestrian crossing near market Dhanbad.,Transportation,LOW
"No electricity connection in rural school Koderma, children sitting in dark classrooms in 43°C summer.",Education,HIGH
"All streetlights on main ring road Airport Road non-functional for past 12 days, high accident danger.",Urban Infrastructure,HIGH
Water meter glass cloudy and hard to read at property in Giridih.,Water Management,LOW
Continuous power blackout in civil hospital during emergency surgeries in Sahebganj.,Energy,CRITICAL
"Bridge approach road collapsed, leaving public transport buses stranded on ledge near Giridih.",Transportation,CRITICAL
"Government bus service to rural block Sahebganj canceled without notice, college students stranded.",Transportation,HIGH
"Bus stop shelter collapsed in heavy storm, commuters forced to stand on highway in rain in Jamtara.",Transportation,MEDIUM
Request for tree plantation drive along newly expanded 4-lane avenue in Koderma.,Environment,LOW
"Government ambulance dial 108 helpline not answering, pregnant patient died en route in Saraikela.",Healthcare,CRITICAL
Dead animal carcass found decaying inside the community drinking water overhead tank in Khunti.,Water Management,CRITICAL
"Dangerous potholes covering entire 5 km stretch of Ring Road, making emergency ambulance transit impossible.",Urban Infrastructure,HIGH
High voltage 11KV electrical wire snapped and lying alive on wet school pathway in Sahebganj.,Energy,CRITICAL
"Main municipal water pipeline exploded on Circular Road, flooding residential homes and cutting supply to 500 families.",Water Management,CRITICAL
Drinking water supply poisoned due to pesticide tank leakage near local water pump house.,Water Management,CRITICAL
Deforestation and unmonitored hill cutting leading to soil erosion onto roads during monsoons in Khunti.,Environment,MEDIUM
"Solar street light battery backup discharged, light turning off by 10 PM in Pakur.",Energy,LOW
Pedestrian subway flooded with 5 feet of stormwater and live electrical wires submerged in water.,Urban Infrastructure,CRITICAL
Frequent drunken brawls and stone pelting outside illegal country liquor shop near school in Jamtara.,Public Safety,HIGH
Free textbooks and uniforms under government educational scheme not distributed even 4 months after session start in Dhanbad.,Education,MEDIUM
"Street dustbin missing lid, stray dogs scattering waste in Koderma.",Sanitation,LOW
Slight brownish discoloration noticed in morning tap water for past two days in Dumka.,Water Management,LOW
Primary Health Centre in Khunti has no medical doctor present for the past 7 days.,Healthcare,HIGH
Stretcher and wheelchair wheels broken at entrance of government clinic in Jamshedpur.,Healthcare,MEDIUM
Primary Health Centre in Simdega has no medical doctor present for the past 4 days.,Healthcare,HIGH
Massive locust attack destroying standing wheat and mustard crops across 500 hectares in Jamtara.,Agriculture,CRITICAL
"Desks and benches broken, students forced to sit on damp concrete floor in school at Chaibasa.",Education,MEDIUM
Cholera and severe gastroenteritis outbreak reported due to sewage mixing in drinking water pipelines in Godda.,Water Management,CRITICAL
State transport bus operating with completely worn bald tires and failing hydraulic brakes on hill route near Garhwa.,Transportation,CRITICAL
CCTV cameras installed at main market intersection non-functional for past 6 months in Giridih.,Public Safety,MEDIUM
"Bridge approach road collapsed, leaving public transport buses stranded on ledge near Godda.",Transportation,CRITICAL
Public dustbins in market area Lohardaga broken and overflowing with plastic bags.,Sanitation,MEDIUM
CCTV cameras installed at main market intersection non-functional for past 6 months in Jamtara.,Public Safety,MEDIUM
Municipal sanitation sweepers have not visited colony Giridih for past 7 days.,Sanitation,MEDIUM
Slum settlement in Garhwa experiencing severe hepatitis outbreak due to open sewage pools.,Sanitation,CRITICAL
Bus timetable display screen broken at central bus stand in Giridih.,Transportation,LOW
"Underground electrical cable burnt, whole commercial market in total darkness for 4 days in Simdega.",Energy,HIGH
Water bill received has higher meter reading than actual consumption in Giridih.,Water Management,LOW
Damaged sluice valve cutting drinking water supply to entire commercial and residential district in Koderma.,Water Management,HIGH
High voltage 11KV electrical wire snapped and lying alive on wet school pathway in Hazaribagh.,Energy,CRITICAL
Surgeon and anesthesiologist absent during critical trauma patient admission at civil hospital Sahebganj.,Healthcare,CRITICAL
Fake and counterfeit antibiotics distributed through government pharmacy outlet in Jamshedpur.,Healthcare,CRITICAL
"Government bus service to rural block Gumla canceled without notice, college students stranded.",Transportation,HIGH
Water smells strongly like foul drainage water and looks muddy black from municipal connection in Ranchi.,Water Management,HIGH
"No electricity connection in rural school West Singhbhum, children sitting in dark classrooms in 43°C summer.",Education,HIGH
"Sinkhole formed suddenly in the middle of intersection near Jamshedpur, engulfing front of a delivery truck.",Urban Infrastructure,CRITICAL
Cholera and severe gastroenteritis outbreak reported due to sewage mixing in drinking water pipelines in Hazaribagh.,Water Management,CRITICAL
"Hazardous industrial gas leak from factory causing nausea, fainting, and breathing distress in surrounding village Khunti.",Environment,CRITICAL
Public drinking fountain near park in Jamtara has a slow leaky washer.,Water Management,LOW
"Stray cattle wandering on state highway Station Road, causing frequent motorcycle skids and collisions.",Public Safety,MEDIUM
"Classroom roof leaking severely during monsoon rain, destroying desks and textbooks in Chaibasa.",Education,HIGH
Agricultural irrigation feeder canal dry for 30 weeks during critical sowing season in Sahebganj.,Agriculture,HIGH
"Classroom roof leaking severely during monsoon rain, destroying desks and textbooks in Giridih.",Education,HIGH
"Pedestrian subway has zero lighting, non-functional CCTV, and zero police patrols, making it dangerous after dark in Lohardaga.",Public Safety,HIGH
Frequent sudden voltage spikes burning electronic LED appliances in colony Saraikela.,Energy,MEDIUM
"Community public RO purification plant in Gumla broken down for 20 weeks, no technician attending.",Water Management,HIGH
